,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
189,Hannover,Nuremberg,343.47,295.0,10.991
190,Hamburg,Hannover,131.683,295.0,4.214
191,Westerland,Stuttgart,694.442,389.0,22.222
192,Stuttgart,Westerland,694.442,389.0,22.222
193,Stuttgart,Baden-Baden,84.295,389.0,2.697
194,Baden-Baden,Stuttgart,84.295,389.0,2.697
195,Frankfurt-am-Main,Dortmund,178.341,295.0,5.707
196,Straubing,Berlin,391.068,389.0,12.514
197,Straubing,Hannover,443.24,389.0,14.184
198,Paderborn,Westerland,367.117,389.0,11.748
199,Hannover,Saarbrucken,403.594,389.0,12.915
200,Berlin,Lahr,598.843,389.0,19.163
201,Oberpfaffenhofen,Dresden,383.757,389.0,12.28
202,Westerland,Paderborn,367.117,389.0,11.748
203,Augsburg,Leipzig,346.25,389.0,11.08
204,Berlin,Dortmund,414.28,295.0,13.257
205,Berlin,Straubing,391.068,389.0,12.514
206,Memmingen,Memmingen,0.0,389.0,0.0
207,Dortmund,Memmingen,435.411,389.0,13.933
208,Leipzig,Augsburg,346.25,389.0,11.08
209,Lahr,Berlin,598.843,389.0,19.163
210,Nuremberg,Hahn,278.826,389.0,8.922
211,Memmingen,Dortmund,435.411,389.0,13.933
212,Munich,Speyer,265.861,389.0,8.508
213,Hannover,Hahn,326.543,389.0,10.449
214,Cologne,Frankfurt-am-Main,137.068,295.0,4.386
215,Leipzig,Leipzig,0.0,295.0,0.0
216,Hannover,Cologne,249.26,295.0,7.976
217,Trebbin,Egelsbach,402.162,389.0,12.869
218,Hannover,Dusseldorf,239.902,295.0,7.677
219,Dresden,Leipzig,111.289,295.0,3.561
220,Leipzig,Hamburg,288.619,295.0,9.236
221,Zweibrucken,Siegerland,173.612,389.0,5.556
222,Frankfurt-am-Main,Cologne,137.068,295.0,4.386
223,Hahn,Hahn,0.0,389.0,0.0
224,Egelsbach,Vilshofen,361.557,389.0,11.57
225,Bremen,Hamburg,102.781,295.0,3.289
226,Baden-Baden,Baden-Baden,0.0,389.0,0.0
227,Hof,Berlin,257.325,389.0,8.234
228,Cologne,Hahn,102.643,389.0,3.285
229,Dortmund,Frankfurt-am-Main,178.341,295.0,5.707
230,Berlin,Hof,257.325,389.0,8.234
231,Munster,Cologne,145.995,389.0,4.672
232,Cologne,Cologne,0.0,295.0,0.0
233,Munster,Kassel,141.772,389.0,4.537
234,Mannheim,Munster,301.673,389.0,9.654
235,Speyer,Munich,265.861,389.0,8.508
236,Straubing,Straubing,0.0,389.0,0.0
237,Stuttgart,Stuttgart,0.0,295.0,0.0
238,Mannheim,Lahr,132.567,389.0,4.242
239,Oberpfaffenhofen,Dusseldorf,482.103,389.0,15.427
240,Lahr,Monchengladbach,332.001,389.0,10.624
241,Munich,Hahn,373.602,389.0,11.955
242,Monchengladbach,Westerland,427.335,389.0,13.675
243,Dusseldorf,Munster,114.451,389.0,3.662
244,Dresden,Hamburg,377.829,295.0,12.091
245,Koblenz,Munich,378.342,389.0,12.107
246,Westerland,Frankfurt-am-Main,542.667,389.0,17.365
247,Munster,Leipzig,322.896,389.0,10.333
248,Munich,Koblenz,378.342,389.0,12.107
249,Oberpfaffenhofen,Bremen,579.581,389.0,18.547
250,Hannover,Augsburg,457.275,389.0,14.633
251,Frankfurt-am-Main,Braunschweig,289.511,389.0,9.264
252,Hahn,Mannheim,104.331,389.0,3.339
253,Leipzig,Essen,367.439,295.0,11.758
254,Hamburg,Kassel,248.965,389.0,7.967
255,Dusseldorf,Paderborn,134.062,389.0,4.29
256,Cologne,Lahr,281.965,389.0,9.023
257,Lahr,Mannheim,132.567,389.0,4.242
258,Memmingen,Dusseldorf,443.598,389.0,14.195
259,Hof,Nuremberg,104.015,389.0,3.328
260,Nuremberg,Westerland,629.985,389.0,20.16
261,Westerland,Leipzig,466.509,389.0,14.928
262,Frankfurt-am-Main,Baden-Baden,143.862,389.0,4.604
263,Leipzig,Hof,129.014,389.0,4.128
264,Augsburg,Hannover,457.275,389.0,14.633
265,Essen,Leipzig,367.439,295.0,11.758
266,Hamburg,Berlin,250.379,295.0,8.012
267,Leipzig,Mannheim,341.292,389.0,10.921
268,Munster,Monchengladbach,129.362,389.0,4.14
269,Berlin,Hannover,244.14,295.0,7.812
270,Mannheim,Munich,269.504,389.0,8.624
271,Munich,Braunschweig,449.451,389.0,14.382
272,Munster,Dresden,434.184,389.0,13.894
273,Braunschweig,Mannheim,347.468,389.0,11.119
274,Oberpfaffenhofen,Augsburg,46.25,389.0,1.48
275,Braunschweig,Hamburg,150.681,389.0,4.822
276,Dusseldorf,Egelsbach,198.008,389.0,6.336
277,Hof,Barth,453.974,389.0,14.527
278,Munster,Berlin,396.63,389.0,12.692
279,Vilshofen,Paderborn,464.892,389.0,14.877
280,Koblenz,Hahn,46.329,389.0,1.483
281,Hahn,Koblenz,46.329,389.0,1.483
282,Hamburg,Hamburg,0.0,295.0,0.0
283,Berlin,Hahn,510.027,389.0,16.321
284,Barth,Hof,453.974,389.0,14.527
285,Paderborn,Vilshofen,464.892,389.0,14.877
286,Egelsbach,Dusseldorf,198.008,389.0,6.336
287,Munich,Oberpfaffenhofen,48.034,389.0,1.537
288,Kassel,Oberpfaffenhofen,395.362,389.0,12.652
289,Koblenz,Berlin,472.382,389.0,15.116
290,Dortmund,Nuremberg,332.359,295.0,10.635
291,Berlin,Egelsbach,431.256,389.0,13.8
292,Paderborn,Hof,270.487,389.0,8.656
293,Mannheim,Monchengladbach,241.896,389.0,7.741
294,Munich,Mainz,319.658,389.0,10.229
295,Kassel,Berlin,300.685,389.0,9.622
296,Paderborn,Braunschweig,154.46,389.0,4.943
297,Monchengladbach,Altenburg,419.83,389.0,13.435
298,Mainz,Munich,319.658,389.0,10.229
299,Munster,Dusseldorf,114.451,389.0,3.662
300,Zweibrucken,Paderborn,280.92,389.0,8.989
301,Landshut,Munich,25.308,389.0,0.81
302,Hof,Paderborn,270.487,389.0,8.656
303,Altenburg,Cologne,376.085,389.0,12.035
304,Berlin,Kassel,300.685,389.0,9.622
